+------------------------------------------+-------+------------------------------------------+---------+------------+
|                antecedent                |  ==>  |                consequent                | support | confidence |
| [' KNITTED UNION FLAG HOT WATER BOTTLE'] |  ==>  |   [' CREAM CUPID HEARTS COAT HANGER']    |   0.2   |    1.0     |
|   [' RED WOOLLY HOTTIE WHITE HEART.']    |  ==>  |   [' CREAM CUPID HEARTS COAT HANGER']    |   0.2   |    1.0     |
|   [' CREAM CUPID HEARTS COAT HANGER']    |  ==>  |   [' RED WOOLLY HOTTIE WHITE HEART.']    |   0.2   |    1.0     |
|   [' CREAM CUPID HEARTS COAT HANGER']    |  ==>  |    [' SET 7 BABUSHKA NESTING BOXES']     |   0.2   |    1.0     |
|    [' SET 7 BABUSHKA NESTING BOXES']     |  ==>  |   [' CREAM CUPID HEARTS COAT HANGER']    |   0.2   |    1.0     |
|         [' WHITE METAL LANTERN']         |  ==>  |   [' CREAM CUPID HEARTS COAT HANGER']    |   0.2   |    1.0     |
|   [' CREAM CUPID HEARTS COAT HANGER']    |  ==>  |         [' WHITE METAL LANTERN']         |   0.2   |    1.0     |
|   [' CREAM CUPID HEARTS COAT HANGER']    |  ==>  |  ['WHITE HANGING HEART T-LIGHT HOLDER']  |   0.2   |    1.0     |
|  ['WHITE HANGING HEART T-LIGHT HOLDER']  |  ==>  |   [' CREAM CUPID HEARTS COAT HANGER']    |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |   0.2   |    1.0     |
|  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |      [' LOVE BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' LOVE BUILDING BLOCK WORD']       |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |      [" POPPY'S PLAYHOUSE BEDROOM"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE BEDROOM"]      |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |     [' RECIPE BOX WITH METAL HEART']     |   0.2   |    1.0     |
|     [' RECIPE BOX WITH METAL HEART']     |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |    ['ASSORTED COLOUR BIRD ORNAMENT']     |   0.2   |    1.0     |
|    ['ASSORTED COLOUR BIRD ORNAMENT']     |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |   0.2   |    1.0     |
|  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |   0.2   |    1.0     |
|  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |  ==>  |      [' LOVE BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' LOVE BUILDING BLOCK WORD']       |  ==>  |  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |   0.2   |    1.0     |
+------------------------------------------+-------+------------------------------------------+---------+------------+
