+------------------------------------------+-------+------------------------------------------+---------+------------+
|                antecedent                |  ==>  |                consequent                | support | confidence |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  | [' BOX OF 6 ASSORTED COLOUR TEASPOONS']  |   0.2   |    1.0     |
|  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |   0.2   |    1.0     |
|      [' LOVE BUILDING BLOCK WORD']       |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |      [' LOVE BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|    ['ASSORTED COLOUR BIRD ORNAMENT']     |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |    ['ASSORTED COLOUR BIRD ORNAMENT']     |   0.2   |    1.0     |
|   [' BOX OF VINTAGE ALPHABET BLOCKS']    |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |   [' BOX OF VINTAGE ALPHABET BLOCKS']    |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|  ['WHITE HANGING HEART T-LIGHT HOLDER']  |  ==>  | [' KNITTED UNION FLAG HOT WATER BOTTLE'] |   0.2   |    1.0     |
| [' KNITTED UNION FLAG HOT WATER BOTTLE'] |  ==>  |  ['WHITE HANGING HEART T-LIGHT HOLDER']  |   0.2   |    1.0     |
|         [' WHITE METAL LANTERN']         |  ==>  |  ['WHITE HANGING HEART T-LIGHT HOLDER']  |   0.2   |    1.0     |
|  ['WHITE HANGING HEART T-LIGHT HOLDER']  |  ==>  |         [' WHITE METAL LANTERN']         |   0.2   |    1.0     |
|    [' SET 7 BABUSHKA NESTING BOXES']     |  ==>  |  ['WHITE HANGING HEART T-LIGHT HOLDER']  |   0.2   |    1.0     |
|  ['WHITE HANGING HEART T-LIGHT HOLDER']  |  ==>  |    [' SET 7 BABUSHKA NESTING BOXES']     |   0.2   |    1.0     |
|   [' CREAM CUPID HEARTS COAT HANGER']    |  ==>  |  ['WHITE HANGING HEART T-LIGHT HOLDER']  |   0.2   |    1.0     |
|  ['WHITE HANGING HEART T-LIGHT HOLDER']  |  ==>  |   [' CREAM CUPID HEARTS COAT HANGER']    |   0.2   |    1.0     |
|  [' GLASS STAR FROSTED T-LIGHT HOLDER']  |  ==>  |  ['WHITE HANGING HEART T-LIGHT HOLDER']  |   0.2   |    1.0     |
|  ['WHITE HANGING HEART T-LIGHT HOLDER']  |  ==>  |  [' GLASS STAR FROSTED T-LIGHT HOLDER']  |   0.2   |    1.0     |
|   [' RED WOOLLY HOTTIE WHITE HEART.']    |  ==>  |  ['WHITE HANGING HEART T-LIGHT HOLDER']  |   0.2   |    1.0     |
|  ['WHITE HANGING HEART T-LIGHT HOLDER']  |  ==>  |   [' RED WOOLLY HOTTIE WHITE HEART.']    |   0.2   |    1.0     |
|    [' BLUE COAT RACK PARIS FASHION']     |  ==>  |       ['JAM MAKING SET WITH JARS']       |   0.2   |    1.0     |
|       ['JAM MAKING SET WITH JARS']       |  ==>  |    [' BLUE COAT RACK PARIS FASHION']     |   0.2   |    1.0     |
|     [' RED COAT RACK PARIS FASHION']     |  ==>  |       ['JAM MAKING SET WITH JARS']       |   0.2   |    1.0     |
|       ['JAM MAKING SET WITH JARS']       |  ==>  |     [' RED COAT RACK PARIS FASHION']     |   0.2   |    1.0     |
|   [' YELLOW COAT RACK PARIS FASHION']    |  ==>  |       ['JAM MAKING SET WITH JARS']       |   0.2   |    1.0     |
|       ['JAM MAKING SET WITH JARS']       |  ==>  |   [' YELLOW COAT RACK PARIS FASHION']    |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|     [' RECIPE BOX WITH METAL HEART']     |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  |     [' RECIPE BOX WITH METAL HEART']     |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  | [' BOX OF 6 ASSORTED COLOUR TEASPOONS']  |   0.2   |    1.0     |
| [' BOX OF 6 ASSORTED COLOUR TEASPOONS']  |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  |  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |   0.2   |    1.0     |
|      [' LOVE BUILDING BLOCK WORD']       |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  |      [' LOVE BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|    ['ASSORTED COLOUR BIRD ORNAMENT']     |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  |    ['ASSORTED COLOUR BIRD ORNAMENT']     |   0.2   |    1.0     |
|   [' BOX OF VINTAGE ALPHABET BLOCKS']    |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  |   [' BOX OF VINTAGE ALPHABET BLOCKS']    |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |      [" POPPY'S PLAYHOUSE BEDROOM"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE BEDROOM"]      |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |     [' RECIPE BOX WITH METAL HEART']     |   0.2   |    1.0     |
|     [' RECIPE BOX WITH METAL HEART']     |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  | [' BOX OF 6 ASSORTED COLOUR TEASPOONS']  |   0.2   |    1.0     |
| [' BOX OF 6 ASSORTED COLOUR TEASPOONS']  |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |      [' LOVE BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' LOVE BUILDING BLOCK WORD']       |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|    ['ASSORTED COLOUR BIRD ORNAMENT']     |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |    ['ASSORTED COLOUR BIRD ORNAMENT']     |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |   [' BOX OF VINTAGE ALPHABET BLOCKS']    |   0.2   |    1.0     |
|   [' BOX OF VINTAGE ALPHABET BLOCKS']    |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|     [' RED COAT RACK PARIS FASHION']     |  ==>  |    [' BLUE COAT RACK PARIS FASHION']     |   0.2   |    1.0     |
|    [' BLUE COAT RACK PARIS FASHION']     |  ==>  |     [' RED COAT RACK PARIS FASHION']     |   0.2   |    1.0     |
|    [' BLUE COAT RACK PARIS FASHION']     |  ==>  |   [' YELLOW COAT RACK PARIS FASHION']    |   0.2   |    1.0     |
|   [' YELLOW COAT RACK PARIS FASHION']    |  ==>  |    [' BLUE COAT RACK PARIS FASHION']     |   0.2   |    1.0     |
|         [' WHITE METAL LANTERN']         |  ==>  | [' KNITTED UNION FLAG HOT WATER BOTTLE'] |   0.2   |    1.0     |
| [' KNITTED UNION FLAG HOT WATER BOTTLE'] |  ==>  |         [' WHITE METAL LANTERN']         |   0.2   |    1.0     |
+------------------------------------------+-------+------------------------------------------+---------+------------+
